time,streamflow
1986-04-02,5.38
1986-04-03,4.927
1986-04-04,4.786
1986-04-05,4.616
1986-04-06,4.446
1986-04-07,4.361
1986-04-08,4.587
1986-04-09,5.692
1986-04-10,4.786
1986-04-11,4.276
1986-04-12,4.134
1986-04-13,4.049
1986-04-14,3.936
1986-04-15,3.851
1986-04-16,3.738
1986-04-17,3.625
1986-04-18,3.596
1986-04-19,3.54
1986-04-20,3.483
1986-04-21,3.964
1986-04-22,4.757
1986-04-23,3.964
1986-04-24,3.625
1986-04-25,3.511
1986-04-26,3.455
1986-04-27,3.398
1986-04-28,3.37
1986-04-29,3.426
1986-04-30,3.511
1986-05-01,3.171
1986-05-02,3.03
1986-05-03,2.917
1986-05-04,2.832
1986-05-05,2.803
1986-05-06,2.775
1986-05-07,2.775
1986-05-08,3.171
1986-05-09,3.228
1986-05-10,2.747
1986-05-11,2.605
1986-05-12,2.577
1986-05-13,2.633
1986-05-14,2.662
1986-05-15,2.577
1986-05-16,2.464
1986-05-17,2.718
1986-05-18,3.228
1986-05-19,2.945
1986-05-20,3.908
1986-05-21,3.483
1986-05-22,2.803
1986-05-23,2.577
1986-05-24,2.464
1986-05-25,2.577
1986-05-26,3.171
1986-05-27,3.256
1986-05-28,5.295
1986-05-29,4.502
1986-05-30,3.568
1986-05-31,3.03
1986-06-01,2.747
1986-06-02,2.52
1986-06-03,2.35
1986-06-04,2.237
1986-06-05,2.237
1986-06-06,2.095
1986-06-07,2.039
1986-06-08,2.01
1986-06-09,1.926
1986-06-10,2.039
1986-06-11,2.294
1986-06-12,1.982
1986-06-13,1.954
1986-06-14,1.926
1986-06-15,1.699
1986-06-16,1.642
1986-06-17,1.557
1986-06-18,1.472
1986-06-19,1.416
1986-06-20,1.444
1986-06-21,1.557
1986-06-22,1.501
1986-06-23,1.331
1986-06-24,1.303
1986-06-25,1.246
1986-06-26,1.189
1986-06-27,1.161
1986-06-28,1.161
1986-06-29,1.133
1986-06-30,9.09
1986-07-01,21.974
1986-07-02,4.248
1986-07-03,2.718
1986-07-04,2.152
1986-07-05,1.869
1986-07-06,1.642
1986-07-07,1.501
1986-07-08,1.416
1986-07-09,1.359
1986-07-10,1.274
1986-07-11,1.161
1986-07-12,1.133
1986-07-13,1.161
1986-07-14,1.303
1986-07-15,1.501
1986-07-16,1.444
1986-07-17,1.218
1986-07-18,1.076
1986-07-19,1.019
1986-07-20,0.963
1986-07-21,0.934
1986-07-22,0.85
1986-07-23,0.821
1986-07-24,1.104
1986-07-25,2.69
1986-07-26,2.01
1986-07-27,1.359
1986-07-28,1.246
1986-07-29,1.529
1986-07-30,1.727
1986-07-31,1.529
1986-08-01,1.246
1986-08-02,1.076
1986-08-03,0.991
1986-08-04,0.963
1986-08-05,0.934
1986-08-06,0.878
1986-08-07,0.906
1986-08-08,1.048
1986-08-09,1.897
1986-08-10,3.681
1986-08-11,2.407
1986-08-12,1.784
1986-08-13,1.812
1986-08-14,1.529
1986-08-15,1.444
1986-08-16,1.331
1986-08-17,1.642
1986-08-18,2.577
1986-08-19,2.067
1986-08-20,1.614
1986-08-21,1.557
1986-08-22,1.557
1986-08-23,1.642
1986-08-24,1.388
1986-08-25,1.246
1986-08-26,1.133
1986-08-27,1.104
1986-08-28,1.076
1986-08-29,1.218
1986-08-30,1.331
1986-08-31,1.246
1986-09-01,1.218
1986-09-02,1.416
1986-09-03,5.578
1986-09-04,4.87
1986-09-05,27.467
1986-09-06,7.985
1986-09-07,4.134
1986-09-08,2.86
1986-09-09,2.35
1986-09-10,2.095
1986-09-11,1.954
1986-09-12,3.058
1986-09-13,6.541
1986-09-14,4.163
1986-09-15,2.803
1986-09-16,2.35
1986-09-17,2.067
1986-09-18,1.954
1986-09-19,1.869
1986-09-20,1.812
1986-09-21,1.784
1986-09-22,1.727
1986-09-23,1.699
1986-09-24,1.784
1986-09-25,1.671
1986-09-26,1.642
1986-09-27,1.586
1986-09-28,1.501
1986-09-29,1.472
1986-09-30,1.416
1986-10-01,1.444
1986-10-02,1.388
1986-10-03,1.388
1986-10-04,1.416
1986-10-05,1.331
1986-10-06,1.274
1986-10-07,1.246
1986-10-08,1.218
1986-10-09,1.359
1986-10-10,1.954
1986-10-11,2.605
1986-10-12,2.095
1986-10-13,2.69
1986-10-14,12.884
1986-10-15,9.996
1986-10-16,5.182
1986-10-17,3.71
1986-10-18,3.087
1986-10-19,2.718
1986-10-20,2.464
1986-10-21,2.294
1986-10-22,2.18
1986-10-23,2.124
1986-10-24,2.095
1986-10-25,17.245
1986-10-26,42.758
1986-10-27,14.98
1986-10-28,9.033
1986-10-29,6.569
1986-10-30,5.295
1986-10-31,4.616
1986-11-01,4.163
1986-11-02,3.823
1986-11-03,3.653
1986-11-04,3.483
1986-11-05,3.455
1986-11-06,3.681
1986-11-07,4.899
1986-11-08,7.079
1986-11-09,8.127
1986-11-10,7.164
1986-11-11,6.654
1986-11-12,15.036
1986-11-13,12.544
1986-11-14,8.92
1986-11-15,8.212
1986-11-16,8.155
1986-11-17,7.277
1986-11-18,6.683
1986-11-19,6.003
1986-11-20,11.412
1986-11-21,18.519
1986-11-22,12.743
1986-11-23,24.494
1986-11-24,73.341
1986-11-25,65.129
1986-11-26,64.279
1986-11-27,67.111
1986-11-28,26.646
1986-11-29,19.17
1986-11-30,15.348
1986-12-01,23.956
1986-12-02,33.414
1986-12-03,26.165
1986-12-04,19.397
1986-12-05,15.121
1986-12-06,12.573
1986-12-07,11.044
1986-12-08,11.553
1986-12-09,25.315
1986-12-10,65.695
1986-12-11,61.731
1986-12-12,33.697
1986-12-13,23.984
1986-12-14,18.604
1986-12-15,15.801
1986-12-16,13.875
1986-12-17,12.431
1986-12-18,11.921
1986-12-19,10.959
1986-12-20,9.826
1986-12-21,9.061
1986-12-22,8.438
1986-12-23,9.175
1986-12-24,26.929
1986-12-25,18.264
1986-12-26,14.527
1986-12-27,12.629
1986-12-28,11.242
1986-12-29,10.166
1986-12-30,9.543
1986-12-31,8.92
1987-01-01,8.863
1987-01-02,9.288
1987-01-03,8.184
1987-01-04,7.646
1987-01-05,7.306
1987-01-06,6.966
1987-01-07,6.683
1987-01-08,6.513
1987-01-09,6.201
1987-01-10,6.4
1987-01-11,6.739
1987-01-12,6.06
1987-01-13,5.748
1987-01-14,5.635
1987-01-15,6.06
1987-01-16,6.513
1987-01-17,6.768
1987-01-18,32.847
1987-01-19,140.168
1987-01-20,156.309
1987-01-21,38.228
1987-01-22,26.08
1987-01-23,24.154
1987-01-24,18.831
1987-01-25,38.794
1987-01-26,89.764
1987-01-27,42.475
1987-01-28,27.864
1987-01-29,23.135
1987-01-30,21.747
1987-01-31,25.428
1987-02-01,21.634
1987-02-02,37.095
1987-02-03,55.501
1987-02-04,32.564
1987-02-05,24.664
1987-02-06,20.473
1987-02-07,18.208
1987-02-08,16.339
1987-02-09,14.668
1987-02-10,13.054
1987-02-11,12.318
1987-02-12,11.865
1987-02-13,11.242
1987-02-14,10.902
1987-02-15,12.969
1987-02-16,31.432
1987-02-17,25.768
1987-02-18,17.811
1987-02-19,14.866
1987-02-20,12.799
1987-02-21,12.176
1987-02-22,15.234
1987-02-23,43.042
1987-02-24,28.034
1987-02-25,20.303
1987-02-26,18.859
1987-02-27,72.774
1987-02-28,129.974
1987-03-01,149.796
1987-03-02,100.808
1987-03-03,33.131
1987-03-04,24.692
1987-03-05,20.247
1987-03-06,17.698
1987-03-07,15.688
1987-03-08,15.234
1987-03-09,25.202
1987-03-10,23.928
1987-03-11,18.802
1987-03-12,17.103
1987-03-13,15.688
1987-03-14,14.017
1987-03-15,13.054
1987-03-16,12.289
1987-03-17,11.723
1987-03-18,11.921
1987-03-19,22.823
1987-03-20,17.811
1987-03-21,15.121
1987-03-22,12.743
1987-03-23,10.477
1987-03-24,10.477
1987-03-25,10.194
1987-03-26,9.061
1987-03-27,8.212
1987-03-28,8.778
1987-03-29,10.477
1987-03-30,18.406
1987-03-31,14.725
1987-04-01,11.893
1987-04-02,9.345
1987-04-03,14.442
1987-04-04,12.459
1987-04-05,11.044
1987-04-06,9.911
1987-04-07,9.061
1987-04-08,8.212
1987-04-09,7.646
1987-04-10,7.362
1987-04-11,6.796
1987-04-12,6.513
1987-04-13,8.495
1987-04-14,12.743
1987-04-15,16.99
1987-04-16,15.574
1987-04-17,14.442
1987-04-18,13.026
1987-04-19,12.176
1987-04-20,11.327
1987-04-21,10.477
1987-04-22,9.911
1987-04-23,9.543
1987-04-24,8.891
1987-04-25,8.523
1987-04-26,8.07
1987-04-27,7.589
1987-04-28,7.192
1987-04-29,6.796
1987-04-30,6.569
1987-05-01,6.4
1987-05-02,6.343
1987-05-03,6.23
1987-05-04,6.116
1987-05-05,5.89
1987-05-06,5.578
1987-05-07,5.38
1987-05-08,5.154
1987-05-09,4.899
1987-05-10,4.786
1987-05-11,4.644
1987-05-12,4.587
1987-05-13,4.587
1987-05-14,5.465
1987-05-15,5.437
1987-05-16,5.805
1987-05-17,6.541
1987-05-18,5.097
1987-05-19,4.672
1987-05-20,4.672
1987-05-21,4.616
1987-05-22,6.739
1987-05-23,6.06
1987-05-24,5.607
1987-05-25,6.456
1987-05-26,5.409
1987-05-27,4.729
1987-05-28,5.635
1987-05-29,9.09
1987-05-30,6.796
1987-05-31,5.833
1987-06-01,5.239
1987-06-02,5.324
1987-06-03,5.04
1987-06-04,7.391
1987-06-05,6.003
1987-06-06,4.729
1987-06-07,4.248
1987-06-08,3.964
1987-06-09,3.681
1987-06-10,3.511
1987-06-11,3.37
1987-06-12,3.285
1987-06-13,3.398
1987-06-14,3.455
1987-06-15,4.163
1987-06-16,3.681
1987-06-17,4.191
1987-06-18,4.332
1987-06-19,4.248
1987-06-20,3.993
1987-06-21,5.154
1987-06-22,6.116
1987-06-23,4.984
1987-06-24,4.191
1987-06-25,4.87
1987-06-26,8.155
1987-06-27,8.693
1987-06-28,5.295
1987-06-29,4.163
1987-06-30,3.625
1987-07-01,3.596
1987-07-02,5.72
1987-07-03,5.777
1987-07-04,6.116
1987-07-05,8.863
1987-07-06,6.739
1987-07-07,5.72
1987-07-08,4.701
1987-07-09,3.993
1987-07-10,3.625
1987-07-11,3.625
1987-07-12,3.37
1987-07-13,3.171
1987-07-14,3.002
1987-07-15,2.945
1987-07-16,2.803
1987-07-17,2.633
1987-07-18,2.492
1987-07-19,2.379
1987-07-20,2.294
1987-07-21,2.209
1987-07-22,2.124
1987-07-23,2.095
1987-07-24,2.039
1987-07-25,1.954
1987-07-26,1.841
1987-07-27,1.756
1987-07-28,1.671
1987-07-29,1.614
1987-07-30,1.529
1987-07-31,1.444
1987-08-01,1.416
1987-08-02,1.472
1987-08-03,1.529
1987-08-04,1.557
1987-08-05,1.557
1987-08-06,1.699
1987-08-07,1.727
1987-08-08,2.492
1987-08-09,2.379
1987-08-10,2.01
1987-08-11,1.812
1987-08-12,1.727
1987-08-13,1.614
1987-08-14,1.444
1987-08-15,1.359
1987-08-16,1.274
1987-08-17,1.246
1987-08-18,1.331
1987-08-19,2.803
1987-08-20,1.756
1987-08-21,1.416
1987-08-22,1.246
1987-08-23,1.133
1987-08-24,1.019
1987-08-25,0.963
1987-08-26,0.934
1987-08-27,0.934
1987-08-28,0.878
1987-08-29,0.85
1987-08-30,0.85
1987-08-31,0.793
1987-09-01,0.821
1987-09-02,0.821
1987-09-03,0.793
1987-09-04,0.821
1987-09-05,0.765
1987-09-06,0.906
1987-09-07,1.218
1987-09-08,1.161
1987-09-09,1.444
1987-09-10,1.274
1987-09-11,1.104
1987-09-12,1.019
1987-09-13,1.388
1987-09-14,2.209
1987-09-15,1.699
1987-09-16,1.303
1987-09-17,1.218
1987-09-18,1.274
1987-09-19,1.161
1987-09-20,1.189
1987-09-21,1.218
1987-09-22,1.218
1987-09-23,1.076
1987-09-24,0.934
1987-09-25,0.85
1987-09-26,0.85
1987-09-27,0.821
1987-09-28,0.765
1987-09-29,0.793
1987-09-30,2.01
1987-10-01,2.803
1987-10-02,1.954
1987-10-03,1.331
1987-10-04,1.104
1987-10-05,1.019
1987-10-06,0.963
1987-10-07,0.934
1987-10-08,0.934
1987-10-09,0.906
1987-10-10,0.906
1987-10-11,0.906
1987-10-12,0.934
1987-10-13,0.906
1987-10-14,0.906
1987-10-15,0.906
1987-10-16,0.906
1987-10-17,0.934
1987-10-18,0.906
1987-10-19,0.934
1987-10-20,1.133
1987-10-21,1.246
1987-10-22,1.982
1987-10-23,1.784
1987-10-24,1.388
1987-10-25,1.274
1987-10-26,1.303
1987-10-27,1.331
1987-10-28,1.303
1987-10-29,1.359
1987-10-30,1.444
1987-10-31,1.472
1987-11-01,1.416
1987-11-02,1.388
1987-11-03,1.359
1987-11-04,1.359
1987-11-05,1.331
1987-11-06,1.303
1987-11-07,1.274
1987-11-08,1.359
1987-11-09,1.274
1987-11-10,1.727
1987-11-11,1.954
1987-11-12,2.605
1987-11-13,1.982
1987-11-14,1.614
1987-11-15,1.444
1987-11-16,1.359
1987-11-17,1.586
1987-11-18,2.577
1987-11-19,2.945
1987-11-20,1.982
1987-11-21,1.642
1987-11-22,1.501
1987-11-23,1.416
1987-11-24,1.359
1987-11-25,1.331
1987-11-26,1.331
1987-11-27,1.331
1987-11-28,1.359
1987-11-29,1.501
1987-11-30,1.557
1987-12-01,1.501
1987-12-02,1.444
1987-12-03,1.388
1987-12-04,1.303
1987-12-05,1.274
1987-12-06,1.274
1987-12-07,1.274
1987-12-08,1.274
1987-12-09,1.274
1987-12-10,1.274
1987-12-11,1.274
1987-12-12,1.274
1987-12-13,1.274
1987-12-14,1.274
1987-12-15,1.614
1987-12-16,4.134
1987-12-17,2.69
1987-12-18,2.01
1987-12-19,1.869
1987-12-20,1.784
1987-12-21,2.209
1987-12-22,2.152
1987-12-23,2.237
1987-12-24,2.917
1987-12-25,4.389
1987-12-26,5.437
1987-12-27,9.316
1987-12-28,9.713
1987-12-29,7.617
1987-12-30,5.465
1987-12-31,4.304
1988-01-01,5.04
1988-01-02,6.768
1988-01-03,8.184
1988-01-04,7.306
1988-01-05,6.06
1988-01-06,4.304
1988-01-07,3.936
1988-01-08,4.248
1988-01-09,4.587
1988-01-10,4.587
1988-01-11,4.361
1988-01-12,3.483
1988-01-13,3.568
1988-01-14,6.796
1988-01-15,5.21
1988-01-16,3.879
1988-01-17,5.72
1988-01-18,27.043
1988-01-19,28.883
1988-01-20,97.41
1988-01-21,99.958
1988-01-22,20.331
1988-01-23,13.054
1988-01-24,10.109
1988-01-25,10.109
1988-01-26,10.024
1988-01-27,7.787
1988-01-28,6.513
1988-01-29,5.862
1988-01-30,5.295
1988-01-31,4.927
1988-02-01,4.672
1988-02-02,4.955
1988-02-03,12.601
1988-02-04,12.629
1988-02-05,12.148
1988-02-06,10.477
1988-02-07,8.155
1988-02-08,7.504
1988-02-09,6.485
1988-02-10,5.748
1988-02-11,5.21
1988-02-12,4.984
1988-02-13,4.899
1988-02-14,4.191
1988-02-15,4.531
1988-02-16,6.626
1988-02-17,6.173
1988-02-18,5.493
1988-02-19,5.239
1988-02-20,5.55
1988-02-21,5.267
1988-02-22,4.729
1988-02-23,4.361
1988-02-24,4.389
1988-02-25,4.163
1988-02-26,3.794
1988-02-27,3.653
1988-02-28,3.511
1988-02-29,3.398
1988-03-01,3.285
1988-03-02,3.115
1988-03-03,3.058
1988-03-04,3.2
1988-03-05,3.766
1988-03-06,3.54
1988-03-07,3.313
1988-03-08,3.2
1988-03-09,3.341
1988-03-10,15.461
1988-03-11,20.331
1988-03-12,13.649
1988-03-13,19.199
1988-03-14,16.679
1988-03-15,14.158
1988-03-16,11.893
1988-03-17,7.73
1988-03-18,7.674
1988-03-19,6.4
1988-03-20,5.72
1988-03-21,5.012
1988-03-22,4.531
1988-03-23,4.191
1988-03-24,4.021
1988-03-25,3.964
1988-03-26,4.446
1988-03-27,4.304
1988-03-28,3.766
1988-03-29,3.568
1988-03-30,3.483
1988-03-31,3.908
1988-04-01,3.964
1988-04-02,5.182
1988-04-03,5.21
1988-04-04,5.805
1988-04-05,5.692
1988-04-06,5.267
1988-04-07,6.4
1988-04-08,5.267
1988-04-09,4.644
1988-04-10,4.134
1988-04-11,4.078
1988-04-12,8.382
1988-04-13,14.328
1988-04-14,10.506
1988-04-15,8.212
1988-04-16,6.938
1988-04-17,5.862
1988-04-18,5.89
1988-04-19,14.272
1988-04-20,16.962
1988-04-21,12.799
1988-04-22,9.996
1988-04-23,8.07
1988-04-24,6.938
1988-04-25,5.805
1988-04-26,5.154
1988-04-27,4.729
1988-04-28,4.276
1988-04-29,3.936
1988-04-30,3.766
1988-05-01,3.625
1988-05-02,3.483
1988-05-03,3.341
1988-05-04,3.483
1988-05-05,5.748
1988-05-06,4.361
1988-05-07,3.738
1988-05-08,3.511
1988-05-09,3.398
1988-05-10,3.823
1988-05-11,4.163
1988-05-12,3.851
1988-05-13,3.37
1988-05-14,3.256
1988-05-15,3.37
1988-05-16,3.2
1988-05-17,3.115
1988-05-18,2.86
1988-05-19,2.69
1988-05-20,2.549
1988-05-21,2.464
1988-05-22,2.379
1988-05-23,2.322
1988-05-24,2.577
1988-05-25,2.803
1988-05-26,3.143
1988-05-27,2.52
1988-05-28,2.322
1988-05-29,2.18
1988-05-30,2.039
1988-05-31,1.954
1988-06-01,1.869
1988-06-02,1.841
1988-06-03,1.812
1988-06-04,1.699
1988-06-05,1.586
1988-06-06,1.557
1988-06-07,1.529
1988-06-08,1.444
1988-06-09,1.416
1988-06-10,1.359
1988-06-11,1.303
1988-06-12,1.303
1988-06-13,1.218
1988-06-14,1.189
1988-06-15,1.133
1988-06-16,1.104
1988-06-17,1.076
1988-06-18,1.019
1988-06-19,1.076
1988-06-20,2.039
1988-06-21,1.784
1988-06-22,1.501
1988-06-23,1.359
1988-06-24,1.133
1988-06-25,0.991
1988-06-26,0.963
1988-06-27,0.991
1988-06-28,0.793
1988-06-29,0.736
1988-06-30,0.765
1988-07-01,0.736
1988-07-02,0.793
1988-07-03,0.991
1988-07-04,1.161
1988-07-05,1.501
1988-07-06,1.812
1988-07-07,1.303
1988-07-08,1.076
1988-07-09,0.934
1988-07-10,0.793
1988-07-11,0.68
1988-07-12,0.821
1988-07-13,1.104
1988-07-14,3.851
1988-07-15,2.69
1988-07-16,1.869
1988-07-17,1.388
1988-07-18,1.586
1988-07-19,1.246
1988-07-20,1.019
1988-07-21,1.048
1988-07-22,1.161
1988-07-23,3.087
1988-07-24,1.982
1988-07-25,1.614
1988-07-26,1.274
1988-07-27,1.161
1988-07-28,1.812
1988-07-29,1.812
1988-07-30,1.444
1988-07-31,1.246
1988-08-01,1.303
1988-08-02,1.189
1988-08-03,1.104
1988-08-04,2.18
1988-08-05,4.616
1988-08-06,3.993
1988-08-07,3.313
1988-08-08,2.01
1988-08-09,1.784
1988-08-10,3.823
1988-08-11,2.379
1988-08-12,1.812
1988-08-13,1.472
1988-08-14,1.444
1988-08-15,1.218
1988-08-16,1.161
1988-08-17,1.642
1988-08-18,1.557
1988-08-19,1.274
1988-08-20,14.47
1988-08-21,20.02
1988-08-22,8.184
1988-08-23,5.012
1988-08-24,3.681
1988-08-25,2.888
1988-08-26,2.435
1988-08-27,2.039
1988-08-28,1.756
1988-08-29,1.557
1988-08-30,1.416
1988-08-31,2.265
1988-09-01,1.869
1988-09-02,1.529
1988-09-03,1.614
1988-09-04,9.146
1988-09-05,31.715
1988-09-06,13.564
1988-09-07,7.532
1988-09-08,4.87
1988-09-09,3.653
1988-09-10,3.087
1988-09-11,2.832
1988-09-12,5.72
1988-09-13,4.842
1988-09-14,2.662
1988-09-15,2.265
1988-09-16,2.01
1988-09-17,2.322
1988-09-18,3.851
1988-09-19,4.049
1988-09-20,3.285
1988-09-21,2.86
1988-09-22,2.549
1988-09-23,2.209
1988-09-24,2.265
1988-09-25,3.03
1988-09-26,4.134
1988-09-27,3.03
1988-09-28,2.605
1988-09-29,2.322
1988-09-30,2.152
1988-10-01,2.01
1988-10-02,3.426
1988-10-03,6.711
1988-10-04,4.559
1988-10-05,3.625
1988-10-06,3.03
1988-10-07,2.633
1988-10-08,2.379
1988-10-09,2.237
1988-10-10,2.095
1988-10-11,1.982
1988-10-12,1.869
1988-10-13,1.727
1988-10-14,1.614
1988-10-15,1.557
1988-10-16,1.586
1988-10-17,1.557
1988-10-18,1.614
1988-10-19,2.237
1988-10-20,3.511
1988-10-21,2.605
1988-10-22,2.464
1988-10-23,2.888
1988-10-24,2.435
1988-10-25,2.265
1988-10-26,2.209
1988-10-27,2.124
1988-10-28,2.124
1988-10-29,2.152
1988-10-30,2.18
1988-10-31,2.152
1988-11-01,2.237
1988-11-02,2.435
1988-11-03,2.322
1988-11-04,2.69
1988-11-05,30.865
1988-11-06,31.148
1988-11-07,13.988
1988-11-08,9.373
1988-11-09,8.014
1988-11-10,6.938
1988-11-11,7.532
1988-11-12,7.221
1988-11-13,7.362
1988-11-14,7.759
1988-11-15,6.513
1988-11-16,6.286
1988-11-17,14.413
1988-11-18,16.367
1988-11-19,11.213
1988-11-20,23.984
1988-11-21,34.546
1988-11-22,18.321
1988-11-23,12.233
1988-11-24,9.798
1988-11-25,8.382
1988-11-26,7.249
1988-11-27,16.056
1988-11-28,33.414
1988-11-29,23.616
1988-11-30,15.149
1988-12-01,11.497
1988-12-02,9.458
1988-12-03,8.155
1988-12-04,7.306
1988-12-05,6.569
1988-12-06,5.975
1988-12-07,5.578
1988-12-08,5.295
1988-12-09,5.125
1988-12-10,5.097
1988-12-11,4.729
1988-12-12,4.417
1988-12-13,4.191
1988-12-14,4.049
1988-12-15,3.936
1988-12-16,3.738
1988-12-17,3.596
1988-12-18,3.483
1988-12-19,3.341
1988-12-20,3.285
1988-12-21,3.256
1988-12-22,3.228
1988-12-23,3.766
1988-12-24,4.87
1988-12-25,7.419
1988-12-26,6.173
1988-12-27,5.239
1988-12-28,4.899
1988-12-29,6.824
1988-12-30,8.099
1988-12-31,46.44
1989-01-01,53.519
1989-01-02,30.865
1989-01-03,19.737
1989-01-04,15.291
1989-01-05,11.525
1989-01-06,12.799
1989-01-07,13.139
1989-01-08,25.542
1989-01-09,33.697
1989-01-10,40.776
1989-01-11,38.794
1989-01-12,58.049
1989-01-13,83.251
1989-01-14,97.976
1989-01-15,37.945
1989-01-16,26.618
1989-01-17,20.983
1989-01-18,17.811
1989-01-19,15.489
1989-01-20,13.819
1989-01-21,12.289
1989-01-22,11.129
1989-01-23,10.421
1989-01-24,9.883
1989-01-25,9.288
1989-01-26,8.835
1989-01-27,9.401
1989-01-28,8.92
1989-01-29,8.212
1989-01-30,10.449
1989-01-31,11.695
1989-02-01,9.968
1989-02-02,9.373
1989-02-03,8.835
1989-02-04,8.891
1989-02-05,15.461
1989-02-06,50.687
1989-02-07,83.535
1989-02-08,47.006
1989-02-09,25.174
1989-02-10,19.17
1989-02-11,16.48
1989-02-12,14.555
1989-02-13,12.941
1989-02-14,11.865
1989-02-15,10.874
1989-02-16,10.081
1989-02-17,10.421
1989-02-18,17.047
1989-02-19,24.211
1989-02-20,22.993
1989-02-21,54.368
1989-02-22,75.323
1989-02-23,29.449
1989-02-24,21.408
1989-02-25,17.471
1989-02-26,15.716
1989-02-27,23.22
1989-02-28,126.576
1989-03-01,168.768
1989-03-02,47.572
1989-03-03,26.816
1989-03-04,23.107
1989-03-05,61.731
1989-03-06,105.055
1989-03-07,131.39
1989-03-08,42.475
1989-03-09,26.589
1989-03-10,21.974
1989-03-11,19.284
1989-03-12,17.443
1989-03-13,15.914
1989-03-14,14.725
1989-03-15,14.696
1989-03-16,20.445
1989-03-17,16.282
1989-03-18,14.753
1989-03-19,15.263
1989-03-20,14.668
1989-03-21,23.475
1989-03-22,27.354
1989-03-23,27.382
1989-03-24,33.414
1989-03-25,25.57
1989-03-26,20.813
1989-03-27,17.67
1989-03-28,15.433
1989-03-29,13.988
1989-03-30,15.433
1989-03-31,16.452
1989-04-01,13.875
1989-04-02,12.12
1989-04-03,11.723
1989-04-04,31.148
1989-04-05,84.384
1989-04-06,34.83
1989-04-07,51.82
1989-04-08,49.554
1989-04-09,45.024
1989-04-10,30.582
1989-04-11,23.588
1989-04-12,19.68
1989-04-13,17.245
1989-04-14,15.376
1989-04-15,17.528
1989-04-16,15.886
1989-04-17,13.45
1989-04-18,12.318
1989-04-19,11.638
1989-04-20,10.959
1989-04-21,10.477
1989-04-22,9.968
1989-04-23,9.599
1989-04-24,9.203
1989-04-25,8.778
1989-04-26,8.438
1989-04-27,8.155
1989-04-28,8.014
1989-04-29,8.523
1989-04-30,8.184
1989-05-01,10.534
1989-05-02,13.111
1989-05-03,10.307
1989-05-04,9.061
1989-05-05,19.057
1989-05-06,85.517
1989-05-07,43.325
1989-05-08,17.925
1989-05-09,13.847
1989-05-10,46.44
1989-05-11,28.034
1989-05-12,18.491
1989-05-13,13.96
1989-05-14,11.78
1989-05-15,10.675
1989-05-16,9.713
1989-05-17,8.948
1989-05-18,8.467
1989-05-19,7.985
1989-05-20,9.628
1989-05-21,11.667
1989-05-22,8.58
1989-05-23,14.951
1989-05-24,11.582
1989-05-25,9.345
1989-05-26,8.382
1989-05-27,8.155
1989-05-28,8.07
1989-05-29,7.051
1989-05-30,6.598
1989-05-31,6.286
1989-06-01,6.003
1989-06-02,6.003
1989-06-03,7.136
1989-06-04,6.145
1989-06-05,6.853
1989-06-06,10.647
1989-06-07,11.836
1989-06-08,9.543
1989-06-09,14.555
1989-06-10,19.001
1989-06-11,13.111
1989-06-12,9.911
1989-06-13,11.242
1989-06-14,13.054
1989-06-15,37.095
1989-06-16,100.808
1989-06-17,166.503
1989-06-18,104.772
1989-06-19,29.733
1989-06-20,63.146
1989-06-21,139.602
1989-06-22,94.295
1989-06-23,36.529
1989-06-24,26.844
